id,slug,name,name_ar,description,description_ar,subjects_count,courses_count,url,source,collected_at
baccalaureat,baccalaureat,Baccalauréat,البكالوريا,"Français: 2eme BAC Sciences Physiques. Cours, Exercices corrigés, Examens - AlloSchool, Votre école sur internet",التحضير للبكالوريا المغربية,0,32,https://www.alloschool.com/course/francais-2eme-bac-sciences-physiques,public_website,2025-10-22T23:35:17Z
baccalaureat,baccalaureat,Baccalauréat,البكالوريا,"Physique et Chimie 1er BAC Sciences Expérimentales BIOF. Cours, Exercices corrigés, Examens - AlloSchool, Votre école sur internet",التحضير للبكالوريا المغربية,0,34,https://www.alloschool.com/course/physique-et-chimie-1er-bac-sciences-experimentales-biof,public_website,2025-10-22T23:35:18Z
baccalaureat,baccalaureat,Baccalauréat,البكالوريا,"Anglais: 2ème BAC Sciences Agronomiques. Cours, Exercices corrigés, Examens - AlloSchool, Votre école sur internet",التحضير للبكالوريا المغربية,0,34,https://www.alloschool.com/course/anglais-2eme-bac-sciences-agronomiques,public_website,2025-10-22T23:35:19Z
baccalaureat,baccalaureat,Baccalauréat,البكالوريا,"Physique et Chimie 1er BAC Sciences Mathématiques BIOF. Cours, Exercices corrigés, Examens - AlloSchool, Votre école sur internet",التحضير للبكالوريا المغربية,0,34,https://www.alloschool.com/course/physique-et-chimie-1er-bac-sciences-mathematiques-biof,public_website,2025-10-22T23:35:18Z
baccalaureat,baccalaureat,Baccalauréat,البكالوريا,"Philosophie: Annales Bac ES. Cours, Exercices corrigés, Examens - AlloSchool, Votre école sur internet",التحضير للبكالوريا المغربية,0,28,https://www.alloschool.com/course/philosophie-annales-bac-es,public_website,2025-10-22T23:35:17Z
college,college,Collège,الإعدادي,"Anglais: 2ème Année Collège. Cours, Exercices corrigés, Examens - AlloSchool, Votre école sur internet",التعليم الإعدادي المغربي,0,36,https://www.alloschool.com/course/anglais-2eme-annee-college,public_website,2025-10-22T23:35:17Z
baccalaureat,baccalaureat,Baccalauréat,البكالوريا,"Informatique de gestion: 1er BAC Sciences Économiques et Gestion. Cours, Exercices corrigés, Examens - AlloSchool, Votre école sur internet",التحضير للبكالوريا المغربية,0,34,https://www.alloschool.com/course/informatique-de-gestion-1er-bac-sciences-economiques-et-gestion,public_website,2025-10-22T23:35:17Z
baccalaureat,baccalaureat,Baccalauréat,البكالوريا,"Français: 2eme BAC Sciences de la Vie et de la Terre. Cours, Exercices corrigés, Examens - AlloSchool, Votre école sur internet",التحضير للبكالوريا المغربية,0,32,https://www.alloschool.com/course/francais-2eme-bac-sciences-de-la-vie-et-de-la-terre,public_website,2025-10-22T23:35:18Z
baccalaureat,baccalaureat,Baccalauréat,البكالوريا,"Littérature: Annales Bac L. Cours, Exercices corrigés, Examens - AlloSchool, Votre école sur internet",التحضير للبكالوريا المغربية,0,28,https://www.alloschool.com/course/litterature-annales-bac-l,public_website,2025-10-22T23:35:17Z
baccalaureat,baccalaureat,Baccalauréat,البكالوريا,"Anglais: 1er BAC Sciences et Technologies Mécaniques. Cours, Exercices corrigés, Examens - AlloSchool, Votre école sur internet",التحضير للبكالوريا المغربية,0,30,https://www.alloschool.com/course/anglais-1er-bac-sciences-et-technologies-mecaniques,public_website,2025-10-22T23:35:17Z
baccalaureat,baccalaureat,Baccalauréat,البكالوريا,"Physique et Chimie 2ème BAC Sciences Mathématiques B BIOF. Cours, Exercices corrigés, Examens - AlloSchool, Votre école sur internet",التحضير للبكالوريا المغربية,0,30,https://www.alloschool.com/course/physique-et-chimie-2eme-bac-sciences-mathematiques-b-biof,public_website,2025-10-22T23:35:19Z
baccalaureat,baccalaureat,Baccalauréat,البكالوريا,"Mathématiques: Annales Bac S. Cours, Exercices corrigés, Examens - AlloSchool, Votre école sur internet",التحضير للبكالوريا المغربية,0,30,https://www.alloschool.com/course/mathematiques-annales-bac-s,public_website,2025-10-22T23:35:18Z
college,college,Collège,الإعدادي,"Français: 3ème Année Collège. Cours, Exercices corrigés, Examens - AlloSchool, Votre école sur internet",التعليم الإعدادي المغربي,0,36,https://www.alloschool.com/course/francais-3eme-annee-college,public_website,2025-10-22T23:35:18Z
baccalaureat,baccalaureat,Baccalauréat,البكالوريا,"Espagnol: Annales Bac S. Cours, Exercices corrigés, Examens - AlloSchool, Votre école sur internet",التحضير للبكالوريا المغربية,0,30,https://www.alloschool.com/course/espagnol-annales-bac-s,public_website,2025-10-22T23:35:18Z
baccalaureat,baccalaureat,Baccalauréat,البكالوريا,"Annales Bac (Terminale L) Annales Bac France (Lycée) فرنسا. الدروس, التمارين المصححة, الامتحانات - آلوسكول, مدرستك على الإنترنت",التحضير للبكالوريا المغربية,0,21,https://www.alloschool.com/category/annales-bac-terminale-l?hl=ar,public_website,2025-10-22T23:35:23Z
college,college,Collège,الإعدادي,"Français: 1ère Année Collège. Cours, Exercices corrigés, Examens - AlloSchool, Votre école sur internet",التعليم الإعدادي المغربي,0,34,https://www.alloschool.com/course/francais-1ere-annee-college,public_website,2025-10-22T23:35:21Z
baccalaureat,baccalaureat,Baccalauréat,البكالوريا,"Annales Bac France (Lycée) France. Cours, Exercices corrigés, Examens - AlloSchool, Votre école sur internet",التحضير للبكالوريا المغربية,0,31,https://www.alloschool.com/category/annales-bac,public_website,2025-10-22T23:35:22Z
baccalaureat,baccalaureat,Baccalauréat,البكالوريا,"Économie générale et Statistiques : 2ème BAC Sciences de Gestion Comptable (SGC). Cours, Exercices corrigés, Examens - AlloSchool, Votre école sur internet",التحضير للبكالوريا المغربية,0,34,https://www.alloschool.com/course/economie-generale-et-statistiques-2eme-bac-sciences-de-gestion-comptable-sgc,public_website,2025-10-22T23:35:20Z
superieur,superieur,Supérieur,العالي,"Concours d'accès ISEM (Institut Supérieur d'Études Maritimes). Cours, Exercices corrigés, Examens - AlloSchool, Votre école sur internet",التعليم العالي المغربي,0,48,https://www.alloschool.com/course/concours-d-acces-isem-institut-superieur-d-etudes-maritimes,public_website,2025-10-22T23:35:22Z
college,college,Collège,الإعدادي,"Physique et Chimie 1ère Année Collège. Cours, Exercices corrigés, Examens - AlloSchool, Votre école sur internet",التعليم الإعدادي المغربي,0,35,https://www.alloschool.com/course/physique-et-chimie-1ere-annee-college,public_website,2025-10-22T23:35:21Z
